#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Speed (ns/day)"	"Time Remaining"
19.4%	43750	174.99999999992468	-2953479.6722090244	565884.1901306405	-2387595.4820783837	300.03890101507636	2296.3471517783123	31.7	32:57
19.6%	44000	175.99999999992235	-2953027.603887679	566134.3286724772	-2386893.275215202	300.171527609887	2296.8373868110475	31.7	32:55
19.7%	44250	176.99999999992002	-2956254.555443147	569811.6125643372	-2386442.9428788098	302.12126968940936	2294.092173550681	31.7	32:52
19.8%	44500	177.9999999999177	-2954765.8719188925	568062.2034608923	-2386703.6684580003	301.19371102285214	2295.672370724279	31.7	32:49
19.9%	44750	178.99999999991536	-2953878.540088974	566400.8306643086	-2387477.709424665	300.31283031129124	2292.564189572194	31.7	32:47
20.0%	45000	179.99999999991303	-2956442.7709498815	567153.9358167527	-2389288.835133129	300.7121361166645	2293.2231330358095	31.7	32:44
20.1%	45250	180.9999999999107	-2955773.45692008	566246.4664483655	-2389526.990471714	300.23098446630144	2293.616719923682	31.7	32:41
20.2%	45500	181.99999999990837	-2955667.674886396	566016.7267466931	-2389650.948139703	300.10917359260765	2292.6099983850922	31.7	32:39
20.3%	45750	182.99999999990604	-2955808.354754649	566774.1593813283	-2389034.195373321	300.51077388336046	2291.4429880767834	31.7	32:36
20.4%	46000	183.9999999999037	-2959804.7443158664	569300.5796977079	-2390504.1646181587	301.85031364865006	2290.7813423032703	31.7	32:33
20.6%	46250	184.99999999990138	-2957632.467469353	567258.5350940962	-2390373.932375257	300.7675959665216	2291.5108350560736	31.7	32:31
20.7%	46500	185.99999999989905	-2956398.697736252	567108.5736984356	-2389290.1240378167	300.688084552113	2292.8387739456666	31.7	32:28
20.8%	46750	186.99999999989672	-2955507.7663965784	565564.4852981976	-2389943.2810983807	299.86938949973745	2296.487640502824	31.7	32:25
20.9%	47000	187.99999999989438	-2955804.0639782604	566208.6283926502	-2389595.43558561	300.21092225418914	2298.1479744456265	31.7	32:23
21.0%	47250	188.99999999989205	-2954824.2296465263	566929.3815804885	-2387894.8480660375	300.59307464182206	2296.4633231478315	31.7	32:20
21.1%	47500	189.99999999988972	-2955552.2551136706	568589.5564924065	-2386962.698621264	301.47332021989644	2295.5405500868073	31.7	32:17
21.2%	47750	190.9999999998874	-2953875.5022095665	566757.7791661809	-2387117.723043386	300.5020888876724	2294.748784144602	31.7	32:15
21.3%	48000	191.99999999988506	-2955331.333275739	569265.9482481865	-2386065.3850275525	301.8319516193936	2294.567633827383	31.7	32:12
21.4%	48250	192.99999999988273	-2954301.4074719865	567254.2389275748	-2387047.1685444117	300.7653180851032	2293.889131815432	31.7	32:09
21.6%	48500	193.9999999998804	-2956600.243934827	569014.4921543034	-2387585.7517805235	301.69862644194905	2293.889131815432	31.7	32:07
21.7%	48750	194.99999999987807	-2955904.0412400775	567135.4226316569	-2388768.6186084207	300.7023201935352	2294.5603375355167	31.7	32:04
21.8%	49000	195.99999999987574	-2956301.4267799295	566576.3311536257	-2389725.095626304	300.40588287374254	2293.6148571583212	31.6	32:01
21.9%	49250	196.9999999998734	-2957187.42482464	566707.3852729327	-2390480.0395517075	300.47536941288985	2295.0889111404954	31.6	31:59
22.0%	49500	197.99999999987108	-2958451.6150475517	567547.3105755444	-2390904.3044720073	300.9207083517144	2294.860770301252	31.6	31:56
22.1%	49750	198.99999999986875	-2955561.574286107	565164.71484588	-2390396.859440227	299.65742618769656	2295.3208215267214	31.6	31:53
22.2%	50000	199.99999999986642	-2957940.109409377	566023.7534840872	-2391916.35592529	300.11289925697895	2296.5237139575624	31.5	32:01
22.3%	50250	200.9999999998641	-2959171.022985086	566232.0945262641	-2392938.928458822	300.223364292796	2295.5902939768125	31.5	31:59
22.4%	50500	201.99999999986176	-2961707.5090908334	567880.1067610414	-2393827.402329792	301.0971610667752	2293.9786518233436	31.5	31:56
22.6%	50750	202.99999999985943	-2959873.7662143335	565256.023823623	-2394617.7423907104	299.70583935387543	2295.465370720301	31.5	31:53
22.7%	51000	203.9999999998571	-2958668.860679783	564949.0760446505	-2393719.784635132	299.5430917884228	2293.368139707504	31.5	31:50
22.8%	51250	204.99999999985477	-2957781.245522879	564572.9384048614	-2393208.3071180177	299.3436588902415	2293.368139707504	31.5	31:47
22.9%	51500	205.99999999985243	-2959658.8131665625	566761.9489286108	-2392896.8642379516	300.50429974805473	2291.9159055900495	31.5	31:45
23.0%	51750	206.9999999998501	-2960062.959173221	565112.8225929223	-2394950.1365802987	299.62991226378745	2292.172665288279	31.5	31:42
23.1%	52000	207.99999999984777	-2959591.2602082677	564998.8833535175	-2394592.3768547503	299.5695002488032	2294.188883886606	31.5	31:39
23.2%	52250	208.99999999984544	-2959657.8703318536	564165.9159800172	-2395491.9543518363	299.1278504913347	2293.573685813691	31.5	31:36
23.3%	52500	209.9999999998431	-2960466.0615242645	565453.5915690002	-2395012.4699552646	299.81059225249476	2291.139249435325	31.5	31:33
23.4%	52750	210.99999999984078	-2961532.6746805087	566630.47163597	-2394902.2030445384	300.4345888370939	2291.3449216621752	31.5	31:30
23.6%	53000	211.99999999983845	-2958566.5939115807	564864.637758542	-2393701.956153039	299.4983215491946	2292.747277328804	31.5	31:27
23.7%	53250	212.99999999983612	-2958796.744998995	565592.1109169136	-2393204.6340820817	299.8840369495584	2293.355374663934	31.5	31:25
23.8%	53500	213.9999999998338	-2961235.8909314573	567316.5851551894	-2393919.305776268	300.79837483760156	2291.2282757587545	31.5	31:22
23.9%	53750	214.99999999983146	-2958837.454782512	564226.5088574876	-2394610.9459250243	299.15997759557735	2290.4619795675135	31.5	31:19
24.0%	54000	215.99999999982913	-2960568.0357215796	566667.628072786	-2393900.4076487934	300.4542896463095	2291.123588606487	31.5	31:16
24.1%	54250	216.9999999998268	-2957992.05643316	565146.2061856654	-2392845.8502474944	299.647612663716	2294.532697836305	31.5	31:14
24.2%	54500	217.99999999982447	-2957697.3355645593	565698.4617210955	-2391998.873843464	299.94042548093165	2296.383367646748	31.5	31:11
24.3%	54750	218.99999999982214	-2958086.5835064445	564738.9511275562	-2393347.6323788883	299.43168091973195	2295.6808204577264	31.5	31:08
24.4%	55000	219.9999999998198	-2959450.7364013735	565676.9138557212	-2393773.8225456523	299.929000532225	2294.1410891096893	31.5	31:05
24.6%	55250	220.99999999981748	-2959142.698806759	565879.2932289091	-2393263.4055778496	300.03630461630877	2292.745324495165	31.5	31:02
24.7%	55500	221.99999999981515	-2958272.84655226	564775.5546449231	-2393497.291907337	299.451088564115	2292.517500396201	31.5	31:00
24.8%	55750	222.99999999981281	-2959275.8306352217	565368.391450254	-2393907.4391849674	299.76541808003896	2290.471930231925	31.5	30:57
24.9%	56000	223.99999999981048	-2960658.0796492286	565479.7867395619	-2395178.292909667	299.82448126074826	2290.003031479322	31.5	30:54
25.0%	56250	224.99999999980815	-2960232.1833721884	564439.5646973754	-2395792.618674813	299.27294247632443	2290.033169601621	31.5	30:51
25.1%	56500	225.99999999980582	-2961106.663935188	564443.5346827278	-2396663.1292524603	299.27504741239255	2293.7071869367824	31.5	30:49
25.2%	56750	226.9999999998035	-2959997.7451365665	563860.6924038111	-2396137.0527327554	298.9660171198323	2293.213843347788	31.5	30:46
25.3%	57000	227.99999999980116	-2960957.888985304	564762.2327769072	-2396195.656208397	299.4440251424668	2292.332417719765	31.5	30:43
25.4%	57250	228.99999999979883	-2961977.46487402	564891.784124775	-2397085.680749245	299.51271489333317	2293.464630415043	31.5	30:40
25.6%	57500	229.9999999997965	-2961587.0677928533	563615.7210100748	-2397971.3467827784	298.8361302118065	2294.0575900460885	31.5	30:37
25.7%	57750	230.99999999979417	-2959934.8499240205	562274.519582784	-2397660.3303412367	298.12500837927877	2293.317375384396	31.5	30:35
25.8%	58000	231.99999999979184	-2961985.1183399633	564082.0015185905	-2397903.116821373	299.08335799052827	2293.438385170881	31.5	30:32
25.9%	58250	232.9999999997895	-2961962.536292175	565088.6151516524	-2396873.9211405227	299.61707717455596	2293.438385170881	31.5	30:29
26.0%	58500	233.99999999978718	-2960059.727323642	564572.3908987313	-2395487.3364249105	299.3433685956186	2292.7828354132075	31.5	30:26
26.1%	58750	234.99999999978485	-2959375.720956372	563553.025834835	-2395822.695121537	298.8028884428969	2289.597868796563	31.5	30:24
26.2%	59000	235.99999999978252	-2963302.6404491216	566336.8114444178	-2396965.829004704	300.2788865172873	2288.687380399412	31.5	30:21
26.3%	59250	236.9999999997802	-2961812.1757781953	565824.7445840093	-2395987.431194186	300.00738224004687	2287.148160491691	31.5	30:18
26.4%	59500	237.99999999977786	-2961516.9953572545	564850.7236241597	-2396666.271733095	299.49094410048434	2287.5373893208157	31.5	30:15
26.6%	59750	238.99999999977553	-2961849.9570825063	565626.3128049137	-2396223.6442775927	299.9021712199041	2288.908546179294	31.5	30:13
26.7%	60000	239.9999999997732	-2959217.8378627	563218.9677885047	-2395998.870074196	298.62576667338243	2289.227358417986	31.5	30:10
26.8%	60250	240.99999999977086	-2959829.9841835275	564935.3483951759	-2394894.6357883518	299.53581321635147	2290.8762914815375	31.5	30:07
26.9%	60500	241.99999999976853	-2961219.593277797	566349.604803202	-2394869.9884745954	300.2856697167066	2291.2224755117268	31.5	30:04
27.0%	60750	242.9999999997662	-2960681.6274478994	566147.7350550914	-2394533.892392808	300.17863584223613	2290.0157397049456	31.5	30:02
27.1%	61000	243.99999999976387	-2960147.4636060633	565246.1563549887	-2394901.3072510744	299.7006074981416	2289.514756341741	31.5	29:59
27.2%	61250	244.99999999976154	-2959448.3045159094	563818.8701303991	-2395629.43438551	298.9438424254843	2291.2251948630687	31.5	29:56
27.3%	61500	245.9999999997592	-2960682.8651211783	565868.9102663867	-2394813.9548547915	300.03079943924456	2290.8026694897353	31.5	29:53
27.4%	61750	246.99999999975688	-2959759.608821988	565466.9013244661	-2394292.7074975222	299.8176492519169	2291.8747602892195	31.5	29:50
27.6%	62000	247.99999999975455	-2960374.4270317536	566195.3142809507	-2394179.112750803	300.20386294503726	2293.1848925136437	31.5	29:48
27.7%	62250	248.99999999975222	-2960765.8577691894	566840.6787927129	-2393925.1789764767	300.54604331027866	2292.039881479702	31.5	29:45
27.8%	62500	249.9999999997499	-2958676.22466084	564086.9492120363	-2394589.275448804	299.08598131970047	2290.611503595561	31.5	29:42
27.9%	62750	250.99999999974756	-2959757.642699007	565442.5789812404	-2394315.0637177667	299.80475324022615	2289.9167559420666	31.5	29:39
28.0%	63000	251.99999999974523	-2959766.268733144	564933.2996039827	-2394832.969129161	299.53472692154287	2290.6305010581473	31.5	29:37
28.1%	63250	252.9999999997429	-2960489.445985744	564882.2993841661	-2395607.1466015778	299.50768596480265	2293.633938916805	31.5	29:34
28.2%	63500	253.99999999974057	-2960873.759100599	564629.9918641682	-2396243.767236431	299.37390935054424	2291.773728322912	31.5	29:31
28.3%	63750	254.99999999973824	-2963164.256027367	566889.2268801184	-2396275.0291472487	300.57178411563353	2292.43966926583	31.5	29:28
28.4%	64000	255.9999999997359	-2959235.8243284225	563522.12058844	-2395713.7037399826	298.78650209331215	2293.5269949188882	31.5	29:25
28.6%	64250	256.9999999997407	-2961039.979817245	565700.9706018835	-2395339.0092153614	299.9417557210188	2295.4881805250693	31.5	29:23
28.7%	64500	257.99999999974546	-2959926.37272745	564794.8634507641	-2395131.509276686	299.4613263353507	2294.9547496246896	31.5	29:20
28.8%	64750	258.99999999975023	-2959337.060554743	564607.274731806	-2394729.785822937	299.36186444180316	2292.800197749283	31.5	29:17
28.9%	65000	259.999999999755	-2958671.751776524	563824.7108175071	-2394847.040959017	298.9469392311057	2288.855614939178	31.5	29:14
29.0%	65250	260.9999999997598	-2958109.842811795	564211.577519891	-2393898.265291904	299.1520608129541	2292.406387449812	31.5	29:12
29.1%	65500	261.99999999976455	-2961206.5710105225	567893.0120519537	-2393313.5589585686	301.1040036140139	2292.771277250621	31.5	29:09
29.2%	65750	262.99999999976933	-2960447.5682513155	567386.9874389648	-2393060.580812351	300.8357030122022	2291.5883260629753	31.5	29:06
29.3%	66000	263.9999999997741	-2961751.0703547765	568048.0893342793	-2393702.981020497	301.1862275357506	2291.3714534883843	31.5	29:03
29.4%	66250	264.9999999997789	-2960990.11659145	566080.5932371245	-2394909.5233543254	300.143036407535	2291.3161692324943	31.5	29:01
29.6%	66500	265.99999999978365	-2959905.9028439038	565776.5760402032	-2394129.3268037005	299.9818426734728	2290.773804537811	31.5	28:58
29.7%	66750	266.99999999978843	-2959742.512464676	566748.3380071193	-2392994.1744575566	300.49708306662535	2291.2711743643663	31.5	28:55
29.8%	67000	267.9999999997932	-2959489.528386034	566129.8536864942	-2393359.67469954	300.1691549161454	2293.642531350434	31.5	28:52
29.9%	67250	268.999999999798	-2960832.1587887183	568010.5402820314	-2392821.6185066868	301.1663185569046	2293.3972397142866	31.5	28:49
30.0%	67500	269.99999999980275	-2958618.6077975743	565627.687143312	-2392990.9206542624	299.90289991137456	2292.636313155772	31.5	28:47
30.1%	67750	270.9999999998075	-2957538.355665358	565812.4711657547	-2391725.884499603	300.0008747196231	2294.274928855873	31.5	28:44
30.2%	68000	271.9999999998123	-2957508.428529842	564864.0587616649	-2392644.369768177	299.49801455778237	2294.628513832956	31.5	28:41
30.3%	68250	272.9999999998171	-2958645.2945059706	565496.4141176199	-2393148.8803883507	299.833297305314	2294.5472793121257	31.5	28:38
30.4%	68500	273.99999999982185	-2959436.208677493	566314.4988944647	-2393121.7097830283	300.26705612321814	2293.5907960534632	31.5	28:36
30.6%	68750	274.9999999998266	-2958767.813397141	566155.4135162602	-2392612.399880881	300.1827070587337	2294.604136439008	31.5	28:33
30.7%	69000	275.9999999998314	-2959090.7588239294	566593.2746383443	-2392497.484185585	300.4148665220278	2293.846825162828	31.5	28:30
30.8%	69250	276.9999999998362	-2958898.7915896587	566979.8194998564	-2391918.9720898024	300.619817459806	2293.846825162828	31.5	28:27
30.9%	69500	277.99999999984095	-2958822.0642029364	566841.011123222	-2391981.0530797145	300.5462195160863	2294.2795356037077	31.5	28:25
31.0%	69750	278.9999999998457	-2956791.770853415	566306.7856125571	-2390484.985240858	300.2629664443278	2294.2795356037077	31.5	28:22
31.1%	70000	279.9999999998505	-2957678.756833371	565518.8446552493	-2392159.9121781215	299.84519025793026	2291.508723059129	31.5	28:19
31.2%	70250	280.9999999998553	-2959334.9368823525	566607.4291275523	-2392727.5077548	300.42237140988374	2294.5118037439115	31.5	28:16
31.3%	70500	281.99999999986005	-2956785.469559487	563472.7359118761	-2393312.733647611	298.76031771788405	2297.0536705068275	31.5	28:14
31.4%	70750	282.9999999998648	-2959598.2560776584	566219.1848706256	-2393379.0712070325	300.2165194313247	2295.8377839128884	31.5	28:11
31.6%	71000	283.9999999998696	-2959342.1058257	565639.7617795399	-2393702.34404616	299.90930203507264	2297.4298438125493	31.5	28:08
31.7%	71250	284.9999999998744	-2958005.3306897823	565385.2575576096	-2392620.0731321727	299.7743607018751	2298.7272889063624	31.5	28:05
31.8%	71500	285.99999999987915	-2959823.336517304	566220.7993078564	-2393602.537209448	300.2173754262101	2297.9448001781448	31.5	28:02
31.9%	71750	286.9999999998839	-2958260.6177344285	565654.7765840965	-2392605.8411503322	299.9172630729258	2295.8117052283546	31.5	28:00
32.0%	72000	287.9999999998887	-2960921.648214165	567887.442416302	-2393034.205797863	301.1010505232771	2295.652797034158	31.5	27:57
32.1%	72250	288.9999999998935	-2959460.0904076025	566568.5626515741	-2392891.5277560283	300.40176391643865	2295.652797034158	31.5	27:54
32.2%	72500	289.99999999989825	-2958118.279555328	565735.121368791	-2392383.158186537	299.9598628863195	2294.6617869151905	31.5	27:51
32.3%	72750	290.999999999903	-2958542.289953837	566466.363086558	-2392075.926867279	300.34757642418055	2292.0670386363595	31.5	27:49
32.4%	73000	291.9999999999078	-2957614.8453711793	566796.2595691099	-2390818.5858020694	300.52249168034064	2293.534683316187	31.5	27:46
32.6%	73250	292.9999999999126	-2957931.196465388	566845.6855136162	-2391085.510951772	300.5486979365498	2292.3319371843113	31.5	27:43
32.7%	73500	293.99999999991735	-2955751.2158929985	565389.6995316399	-2390361.5163613586	299.776715892265	2293.945131640155	31.5	27:40
32.8%	73750	294.9999999999221	-2957602.729134366	566740.605353153	-2390862.123781213	300.49298311642633	2295.263981079619	31.5	27:38
32.9%	74000	295.9999999999269	-2957150.1077404097	566472.1068543899	-2390678.00088602	300.3506218419852	2293.7543139067557	31.5	27:35
33.0%	74250	296.9999999999317	-2957168.6052868664	566157.7297782593	-2391010.8755086074	300.1839351699211	2290.5480526109436	31.5	27:32
33.1%	74500	297.99999999993645	-2957791.490380861	566824.3999563624	-2390967.0904244985	300.53741206690137	2291.0294146009282	31.5	27:29
33.2%	74750	298.9999999999412	-2957395.2981018797	567214.3622798354	-2390180.9358220445	300.74417498590975	2292.7079300258106	31.5	27:27
33.3%	75000	299.999999999946	-2957405.612242656	566725.7438149365	-2390679.8684277195	300.4851033423106	2292.524893005001	31.4	27:29
33.4%	75250	300.9999999999508	-2955032.120271381	565475.6884085324	-2389556.431862849	299.822308274191	2293.528542795279	31.4	27:26
33.6%	75500	301.99999999995555	-2955701.637669418	567900.0523827322	-2387801.5852866857	301.1077364857682	2296.057895235865	31.4	27:23
33.7%	75750	302.9999999999603	-2957553.5983964093	569080.8861824751	-2388472.7122139344	301.7338293891139	2292.1284055048222	31.4	27:20
33.8%	76000	303.9999999999651	-2956459.6310065035	568799.2204650877	-2387660.4105414157	301.5844866900733	2294.9486795255243	31.4	27:18
33.9%	76250	304.9999999999699	-2954804.191686677	567044.6369950059	-2387759.554691671	300.6541845093726	2298.364290213635	31.4	27:15
34.0%	76500	305.99999999997465	-2954713.9924012125	565945.2203117965	-2388768.772089416	300.07125998322243	2295.9170929849206	31.4	27:12
34.1%	76750	306.9999999999794	-2955680.7032672986	566774.6354931846	-2388906.067774114	300.51102632384317	2293.357883679294	31.4	27:09
34.2%	77000	307.9999999999842	-2956102.2608207	567295.2487408622	-2388807.0120798377	300.78706200289446	2295.248941017394	31.4	27:06
34.3%	77250	308.999999999989	-2956243.5693070255	567305.1910972883	-2388938.378209737	300.7923335650756	2295.5337611727414	31.4	27:04
34.4%	77500	309.99999999999375	-2955889.972574454	567107.636776991	-2388782.3357974626	300.68758778460216	2296.498287927453	31.4	27:01
34.6%	77750	310.9999999999985	-2956067.970759699	566490.9099249969	-2389577.060834702	300.3605914660514	2293.8049753061864	31.4	26:58
34.7%	78000	312.0000000000033	-2957091.595070554	566934.7165758505	-2390156.878494703	300.5959033233319	2296.0712449166786	31.4	26:55
34.8%	78250	313.0000000000081	-2954849.2560363747	564721.6082037376	-2390127.647832637	299.42248548382184	2295.226650881826	31.4	26:53
34.9%	78500	314.00000000001285	-2956340.2795088105	566367.1511707123	-2389973.128338098	300.29497302101595	2294.907841094253	31.4	26:50
35.0%	78750	315.0000000000176	-2956268.5504984967	566634.9159995273	-2389633.6344989697	300.436945294441	2294.907841094253	31.4	26:47
35.1%	79000	316.0000000000224	-2957971.4972673953	568007.817175713	-2389963.6800916824	301.16487473175215	2294.5500564679487	31.4	26:44
35.2%	79250	317.00000000002717	-2955172.712751614	565251.6771560308	-2389921.0355955833	299.70353469615543	2295.5482460290364	31.4	26:41
35.3%	79500	318.00000000003195	-2956382.026008442	565725.5169588065	-2390656.5090496354	299.9547705075839	2293.308839883309	31.4	26:39
35.4%	79750	319.0000000000367	-2958111.782862218	566991.3220129292	-2391120.460849289	300.6259162366254	2293.308839883309	31.4	26:36
35.6%	80000	320.0000000000415	-2956689.714168515	565906.4291029741	-2390783.285065541	300.0506923973681	2295.0296671871047	31.4	26:33
35.7%	80250	321.00000000004627	-2957423.964743575	566678.3752168237	-2390745.5895267515	300.4599879169846	2297.391698466803	31.4	26:30
35.8%	80500	322.00000000005105	-2957003.7711280826	566892.723582872	-2390111.0475452105	300.5736381113268	2296.930306555112	31.4	26:28
35.9%	80750	323.0000000000558	-2954777.052961124	563897.2559611682	-2390879.796999956	298.98540357691655	2297.4050149133964	31.4	26:25
36.0%	81000	324.0000000000606	-2956350.0259078145	565702.3136201891	-2390647.7122876253	299.94246780618306	2299.8529370158767	31.4	26:22
36.1%	81250	325.00000000006537	-2957170.840232203	566160.148175801	-2391010.6920564016	300.18521743465527	2298.3175698033574	31.4	26:19
36.2%	81500	326.00000000007014	-2957857.6909904964	565823.2603503766	-2392034.43064012	300.00659528074357	2294.00196623251	31.5	26:16
36.3%	81750	327.0000000000749	-2958745.5185944103	566942.3378508096	-2391803.1807436007	300.59994421898324	2294.00196623251	31.5	26:14
36.4%	82000	328.0000000000797	-2958713.496558327	566805.6817967596	-2391907.814761568	300.52748746371543	2294.3919185102086	31.5	26:11
36.6%	82250	329.00000000008447	-2957630.0663776286	566161.1225899961	-2391468.9437876325	300.18573408129305	2294.5755398048045	31.5	26:08
36.7%	82500	330.00000000008924	-2957078.98103421	565528.3023047214	-2391550.6787294885	299.8502048224	2294.864247714036	31.5	26:05
36.8%	82750	331.000000000094	-2957335.63621212	566361.1598574121	-2390974.476354708	300.29179635149666	2295.950336028877	31.5	26:02
36.9%	83000	332.0000000000988	-2957645.4980444647	567562.8438660013	-2390082.6541784634	300.92894429730035	2294.9611631005623	31.5	26:00
37.0%	83250	333.00000000010357	-2955710.7755047884	565572.0855581542	-2390138.689946634	299.8734192529706	2293.767491490094	31.5	25:57
37.1%	83500	334.00000000010834	-2956998.013818022	565966.11257563	-2391031.901242392	300.0823373237625	2292.366747942779	31.5	25:54
37.2%	83750	335.0000000001131	-2958896.025161624	567587.3965134927	-2391308.628648131	300.94196241920366	2293.1904627351746	31.5	25:51
37.3%	84000	336.0000000001179	-2956947.648972828	564739.239297189	-2392208.409675639	299.4318337108886	2294.564285811778	31.5	25:49
37.4%	84250	337.00000000012267	-2955744.4076318555	564760.2726916622	-2390984.134940193	299.44298588066545	2293.3845476563747	31.5	25:46
37.6%	84500	338.00000000012744	-2955818.240354538	564894.0072474233	-2390924.2331071147	299.5138936208676	2296.020333447732	31.5	25:43
37.7%	84750	339.0000000001322	-2956914.5405558404	565768.5329789356	-2391146.0075769047	299.97757814142614	2293.173970569193	31.5	25:40
37.8%	85000	340.000000000137	-2957403.164804522	566190.1050608256	-2391213.0597436964	300.2011009511368	2292.869599927883	31.5	25:38
37.9%	85250	341.00000000014177	-2958297.011855269	566676.7863400673	-2391620.2255152017	300.4591454745836	2291.5738360090177	31.5	25:35
38.0%	85500	342.00000000014654	-2959164.9198983703	568578.9921442039	-2390585.9277541665	301.4677188698676	2292.4480685069757	31.5	25:32
38.1%	85750	343.0000000001513	-2956969.698252011	565458.5713169163	-2391511.1269350946	299.8132325773494	2293.8760307843154	31.5	25:29
38.2%	86000	344.0000000001561	-2958788.2423888184	566248.7801912252	-2392539.4621975934	300.2322112418095	2294.740960275153	31.5	25:26
38.3%	86250	345.00000000016087	-2957868.6512656994	565688.4283161589	-2392180.2229495402	299.93510564368734	2294.766876038239	31.5	25:24
38.4%	86500	346.00000000016564	-2957010.3502347413	566809.6898087774	-2390200.660425964	300.5296125619989	2294.685130116482	31.5	25:21
38.6%	86750	347.0000000001704	-2956982.2500961907	567013.9097010862	-2389968.3403951046	300.63789251242406	2295.503367047397	31.5	25:18
38.7%	87000	348.0000000001752	-2957281.0431358553	567072.9655245083	-2390208.077611347	300.66920465131597	2293.3861049003785	31.5	25:15
38.8%	87250	349.00000000017997	-2957438.323934298	566385.8376423187	-2391052.4862919794	300.3048808228284	2291.708093766567	31.5	25:13
38.9%	87500	350.00000000018474	-2956929.391923666	565863.8561717202	-2391065.535751946	300.0281196948095	2294.3595417797255	31.5	25:10
39.0%	87750	351.0000000001895	-2957226.6618286707	565309.7441252789	-2391916.917703392	299.73432253215145	2295.053718714887	31.5	25:07
39.1%	88000	352.0000000001943	-2957932.347314544	565674.5733683368	-2392257.773946207	299.92775957643425	2294.0731764479724	31.5	25:04
39.2%	88250	353.00000000019907	-2956838.559198372	565948.6830528319	-2390889.8761455403	300.07309597198633	2294.0731764479724	31.5	25:02
39.3%	88500	354.00000000020384	-2959331.505098667	568532.0584186114	-2390799.4466800555	301.4428340194108	2296.2231456373206	31.5	24:59
39.4%	88750	355.0000000002086	-2958452.479102889	566368.2598744599	-2392084.2192284293	300.2955608696602	2293.8991752373795	31.5	24:56
39.6%	89000	356.0000000002134	-2955538.019952664	564697.1273582026	-2390840.8925944613	299.40950543221703	2293.5269111780335	31.5	24:53
39.7%	89250	357.00000000021817	-2956226.22291819	564809.5552110687	-2391416.6677071215	299.46911609108633	2291.086240158707	31.5	24:50
39.8%	89500	358.00000000022294	-2956995.039223559	566178.44912542	-2390816.5900981394	300.19492082787065	2290.6443942318024	31.5	24:48
39.9%	89750	359.0000000002277	-2956605.2639825903	565293.8810204546	-2391311.3829621356	299.7259117148479	2293.236810242532	31.5	24:45
40.0%	90000	360.0000000002325	-2956718.420707371	566084.6666754892	-2390633.7540318817	300.14519619568887	2296.394362666383	31.5	24:42
40.1%	90250	361.00000000023726	-2955836.6526856236	565412.4025278306	-2390424.250157793	299.7887533058305	2297.908995404581	31.5	24:39
40.2%	90500	362.00000000024204	-2956165.1848107725	565214.1829493786	-2390951.001861394	299.6836547971327	2296.952692459738	31.5	24:37
40.3%	90750	363.0000000002468	-2959289.893277701	567591.4286296796	-2391698.4646480214	300.94410029782017	2292.332735924634	31.5	24:34
40.4%	91000	364.0000000002516	-2959286.2849768437	566909.1935783969	-2392377.091398447	300.58237070969795	2296.139041498558	31.5	24:31
40.6%	91250	365.00000000025636	-2957598.8565872833	565002.826047938	-2392596.0305393455	299.57159071487666	2295.4246993464103	31.5	24:28
40.7%	91500	366.00000000026114	-2957457.200408945	565258.5853281845	-2392198.6150807603	299.70719749574795	2294.7163025675145	31.5	24:26
40.8%	91750	367.0000000002659	-2958211.8198502846	565771.9948064791	-2392439.8250438054	299.9794136458451	2295.687055267002	31.5	24:23
40.9%	92000	368.0000000002707	-2959709.4429427236	567077.9959250444	-2392631.447017679	300.6718718328256	2292.260397088515	31.5	24:20
41.0%	92250	369.00000000027546	-2955551.720931541	564115.4230785402	-2391436.297853001	299.1010785211464	2293.57555427804	31.5	24:17
41.1%	92500	370.00000000028024	-2958432.397808986	566088.4174855489	-2392343.9803234367	300.1471849222656	2292.7798779256723	31.5	24:14
41.2%	92750	371.000000000285	-2959380.588019997	566239.2343626774	-2393141.353657319	300.22714992368697	2291.8111491028476	31.5	24:12
41.3%	93000	372.0000000002898	-2957514.160096688	565248.0641255181	-2392266.09597117	299.7016190220241	2292.0947654675256	31.5	24:09
41.4%	93250	373.00000000029456	-2959664.0911011174	566992.2124536157	-2392671.8786475016	300.62638835945495	2293.7003359265505	31.5	24:06
41.6%	93500	374.00000000029934	-2957611.782522885	565675.3786191208	-2391936.403903764	299.92818653050807	2293.484158828426	31.5	24:03
41.7%	93750	375.0000000003041	-2958025.9409923367	565648.6437191848	-2392377.297273152	299.9140113509652	2292.4979657395634	31.5	24:01
41.8%	94000	376.0000000003089	-2958442.9598380886	566457.7059869842	-2391985.2538511045	300.34298632131606	2291.948045845866	31.5	23:58
41.9%	94250	377.00000000031366	-2958226.830737194	565875.7769227857	-2392351.0538144084	300.03444022666275	2292.1760302414878	31.5	23:55
42.0%	94500	378.00000000031844	-2958492.5302314833	565908.0045176029	-2392584.5257138805	300.0515277019801	2292.833187332623	31.5	23:52
42.1%	94750	379.0000000003232	-2958301.7794647776	564697.8181452275	-2393603.96131955	299.4098716961689	2293.251835617746	31.5	23:50
42.2%	95000	380.000000000328	-2961091.90403131	566975.8313597783	-2394116.0726715317	300.6177028978744	2290.72558629942	31.5	23:47
