#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Speed (ns/day)"	"Time Remaining"
12.0%	12000	47.999999999995154	-2991160.635261826	547418.7169206511	-2443741.918341175	290.2482753265066	2282.9506010125556	32.2	15:43
12.2%	12250	48.9999999999946	-2990496.376456905	550327.0647687106	-2440169.3116881945	291.79031786333707	2285.510495256632	32.2	15:41
12.5%	12500	49.999999999994046	-2988116.12768789	551682.3739546974	-2436433.7537331926	292.50891980661675	2286.18696731909	32.2	15:38
12.8%	12750	50.99999999999349	-2985693.391567502	551359.4524614766	-2434333.9391060257	292.33770277735545	2284.626421022722	32.2	15:36
13.0%	13000	51.99999999999294	-2986304.932996724	554443.1319029352	-2431861.801093789	293.9727083259014	2284.626421022722	32.2	15:33
13.2%	13250	52.99999999999238	-2984240.343081262	555275.7966468309	-2428964.5464344313	294.41419762535463	2284.485872977216	32.2	15:31
13.5%	13500	53.99999999999183	-2981749.7607883587	554285.6301973276	-2427464.130591031	293.88919894450726	2284.485872977216	32.2	15:28
13.8%	13750	54.999999999991275	-2980629.0136014707	555990.8469899516	-2424638.166611519	294.7933262931318	2284.1874833939623	32.2	15:26
14.0%	14000	55.99999999999072	-2976713.7617540117	555266.3914055575	-2421447.3703484545	294.4092108483698	2287.4510402754327	32.2	15:23
14.2%	14250	56.999999999990166	-2976752.5807093047	556594.5423434133	-2420158.038365891	295.1134131475795	2286.4622373031507	32.2	15:21
14.5%	14500	57.99999999998961	-2975825.0889413897	556601.754933165	-2419223.334008225	295.11723735320373	2288.3644196096902	32.2	15:18
14.8%	14750	58.99999999998906	-2975121.903735798	557327.3477716483	-2417794.5559641495	295.5019557843595	2288.8484168689038	32.2	15:16
15.0%	15000	59.9999999999885	-2973527.2470012344	556817.6968698552	-2416709.550131379	295.23173247870386	2291.1136244376403	32.2	15:13
15.2%	15250	60.99999999998795	-2974472.485815391	559186.0328812273	-2415286.4529341636	296.4874539610844	2287.6238801483933	32.1	15:11
15.5%	15500	61.999999999987395	-2972705.7594215535	558889.3749213817	-2413816.384500172	296.3301621868984	2286.85637999675	32.1	15:08
15.8%	15750	62.99999999998684	-2970652.8030048646	559607.3822751158	-2411045.420729749	296.7108586988214	2288.509785584997	32.1	15:06
16.0%	16000	63.99999999998629	-2969516.634105215	560124.2638830078	-2409392.370222207	296.984915815616	2289.3351574008643	32.1	15:03
16.2%	16250	64.99999999998751	-2966352.2291390337	558646.9011722446	-2407705.3279667892	296.20159956139133	2290.3661084814057	32.1	15:01
16.5%	16500	65.99999999998873	-2966770.207851963	560836.326206991	-2405933.881644972	297.36246019813854	2288.775464757562	32.1	14:58
16.8%	16750	66.99999999998995	-2965759.248461483	560635.6042593978	-2405123.644202085	297.2560349019104	2288.775464757562	32.1	14:56
17.0%	17000	67.99999999999118	-2965965.0201038197	562489.2277729755	-2403475.7923308443	298.23884935689836	2292.19380928224	32.1	14:53
17.2%	17250	68.9999999999924	-2964627.509478651	561532.5022743999	-2403095.0072042514	297.73158148800906	2291.7744465360324	32.1	14:50
17.5%	17500	69.99999999999362	-2963816.9229815677	560293.1926338325	-2403523.7303477353	297.07448395982505	2290.738490455808	32.1	14:48
17.8%	17750	70.99999999999484	-2965920.9919594005	564243.8782092592	-2401677.113750141	299.1691870439199	2293.0405662161793	32.1	14:45
18.0%	18000	71.99999999999606	-2962801.913977919	562747.5849824417	-2400054.3289954774	298.3758335924532	2292.638720128878	32.1	14:43
18.2%	18250	72.99999999999729	-2962343.003648538	564307.7572277908	-2398035.2464207476	299.2030565014033	2292.4604941562993	32.1	14:40
18.5%	18500	73.99999999999851	-2960982.3443800546	562679.1655589918	-2398303.1788210627	298.3395567552875	2291.1675856059373	32.1	14:38
18.8%	18750	74.99999999999973	-2960926.466580417	564346.3555039649	-2396580.111076452	299.22352179194564	2293.164428478703	32.1	14:35
19.0%	19000	76.00000000000095	-2960524.3002271056	563913.7807221827	-2396610.519504923	298.99416521263777	2293.3457774906196	32.1	14:33
19.2%	19250	77.00000000000217	-2960539.9932850488	564489.1949414926	-2396050.798343556	299.2992570547519	2291.84766541851	32.1	14:30
19.5%	19500	78.0000000000034	-2959730.1944877245	564196.9885306888	-2395533.2059570355	299.14432554774703	2294.3930956416857	32.1	14:27
19.8%	19750	79.00000000000462	-2959978.4994459786	564597.3473406751	-2395381.1521053035	299.3566008144094	2293.8694227895803	32	14:25
20.0%	20000	80.00000000000584	-2960978.7367156297	564917.4838956526	-2396061.2528199772	299.52634123445546	2293.8694227895803	32	14:22
20.2%	20250	81.00000000000706	-2959818.3706247434	563884.3962763882	-2395933.974348355	298.97858521062165	2293.462000361905	32	14:20
20.5%	20500	82.00000000000828	-2961740.199053237	565437.901396841	-2396302.2976563964	299.802273126261	2294.658905249524	32	14:17
20.8%	20750	83.0000000000095	-2959232.838670885	562673.9265107844	-2396558.912160101	298.3367789461634	2294.658905249524	32	14:15
21.0%	21000	84.00000000001073	-2960634.0390397683	565015.0068194475	-2395619.032220321	299.57804911283324	2294.4920640402506	32	14:12
21.2%	21250	85.00000000001195	-2960300.2273751497	565429.3225119648	-2394870.904863185	299.79772449381096	2293.5201638406775	32	14:09
21.5%	21500	86.00000000001317	-2959840.2134563196	565296.8514288936	-2394543.3620274263	299.72748666268905	2291.46918915118	32	14:07
21.8%	21750	87.0000000000144	-2958609.886826981	564837.3117170351	-2393772.5751099456	299.48383293897047	2291.5197666422705	32	14:04
22.0%	22000	88.00000000001562	-2958589.8415798377	564925.3500502198	-2393664.491529618	299.53051196834895	2292.0121227112513	32	14:01
22.2%	22250	89.00000000001684	-2960533.4375071414	565526.2835088285	-2395007.153998313	299.8491344314761	2291.061752670197	32	13:59
22.5%	22500	90.00000000001806	-2960617.180268731	565738.8748390254	-2394878.3054297054	299.9618530233542	2292.3585526548495	32	13:56
22.8%	22750	91.00000000001928	-2959586.06276552	564046.1503463244	-2395539.9124191958	299.0643492489617	2293.1700309025296	32	13:54
23.0%	23000	92.0000000000205	-2960346.722450031	565310.0576296278	-2395036.6648204033	299.73448875609256	2293.7705801888656	32	13:51
23.2%	23250	93.00000000002173	-2959817.637371648	565243.5614869845	-2394574.0758846635	299.69923166655303	2295.044182330392	32	13:48
23.5%	23500	94.00000000002295	-2958021.549159648	563602.2536661825	-2394419.2954934654	298.8289896570224	2297.4944134328525	32	13:46
23.8%	23750	95.00000000002417	-2959323.810789533	564918.465864307	-2394405.3449252257	299.5268618865625	2296.427992755816	32	13:43
24.0%	24000	96.0000000000254	-2958615.2820155397	564640.9605731138	-2393974.321442426	299.37972509771475	2294.7961812894714	32	13:41
24.2%	24250	97.00000000002662	-2957488.548239015	563616.9291511612	-2393871.619087854	298.836770783376	2296.5760559030164	32	13:38
24.5%	24500	98.00000000002784	-2959954.27249006	566012.5446170646	-2393941.727872995	300.10695617498135	2296.285853893047	32	13:35
24.8%	24750	99.00000000002906	-2960765.3750308603	567552.4729888181	-2393212.9020420425	300.9234455280346	2295.1337445249087	32	13:33
25.0%	25000	100.00000000003028	-2959703.067760242	566941.8032619293	-2392761.264498313	300.59966077324833	2294.688663139474	31.8	13:34
25.2%	25250	101.0000000000315	-2959516.5093696043	565608.0606877893	-2393908.448681815	299.8924937182904	2294.6135725711756	31.8	13:31
